Full Sample,Selected Sample,Lower Bound,Upper Bound,p-hat,Sample Size
-0.019870390558118615,-0.14364499634317737,-0.34655708848922206,0.0509721262566078,0.8631730834993276,829
-0.010411021080027415,-0.23101091610427466,-0.513999070745449,0.04229677773996798,0.797574754806056,829
0.07434601832563356,-0.14095051141970238,-0.4022975068800737,0.12169315619077437,0.8076139219107842,829
-0.0498908794409277,-0.19399385183195955,-0.4103026368008893,0.006761369413749774,0.8587405918123119,829
-0.3500450714611384,-0.47295207983994214,-0.58737254605943,-0.3606034805689755,0.9152169428503328,829
-0.02738821617096712,-0.16709482866328607,-0.3589142153420898,0.060330189369192266,0.8411444012587618,829
-0.14880541695888944,-0.37774874021185795,-0.586422578519827,-0.17430693038855016,0.8341501173146664,829
0.03407014083038482,-0.1795392094481088,-0.40711844205425024,0.035791720521274994,0.8168558584812331,829
0.20367784673532385,-0.05129778543645433,-0.34533409914477664,0.2630479520599466,0.7564362526246663,829
0.12713783905297005,-0.06899257824011701,-0.32590242128805885,0.17425886176852717,0.8084658535730139,829
-0.08259033524079962,-0.26856015813077827,-0.5001080037565238,-0.07152570030774918,0.8421830186569462,829
0.0860353949988378,-0.1569192836885881,-0.47154895413694375,0.12579640721925145,0.7793697883733347,829
-0.18364525615241262,-0.35365472507213286,-0.5298365658874046,-0.19263610740909232,0.875151760984672,829
-0.30162442329008693,-0.4610701948189686,-0.6183992088523421,-0.33074247235171356,0.8878527286243786,829
-0.002714095390880897,-0.22929815062968534,-0.49959544345803086,0.023155846876965702,0.7958124112671028,829
-0.014047604380949014,-0.18627997304503963,-0.3677990506271773,0.006284177392741175,0.8517357884592996,829
0.05475540115532164,-0.1902497091884192,-0.41650200085991934,0.02221130919309605,0.8152231003430712,829
-0.0998323255330333,-0.3171501065856984,-0.533806838553246,-0.13704536017099428,0.8405210960739236,829
-0.0863936394668568,-0.26439307768317855,-0.4465884529717406,-0.06299485854360751,0.8525000655289041,829
-0.12677510884218648,-0.22884576355620478,-0.33687083557712383,-0.1229736065811641,0.925426438817799,829
-0.17082154219989543,-0.3932751813506824,-0.5999867830231038,-0.19183318407971525,0.8422208833216781,829
0.048441495529032624,-0.09527901491016363,-0.27860689719936094,0.10079106623871326,0.8674735787973292,829
-0.06707956608954199,-0.16423146625927243,-0.3642740898901809,-0.009812921155851528,0.879761509285766,829
